feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
hsdR	ResistanceType	No	-1.12837729628849	0.00683387764018088	8.07042668035611e-09	6.6016090245313e-06	CPLM	1.99	6	6	0
yjiY	ResistanceType	No	-1.17070740512248	0.0156884946843271	1.93269409804141e-07	7.90471886098939e-05	CPLM	1.01	6	6	0
yagG	ResistanceType	No	1.02773205494991	0.0280187805093881	3.29822036784186e-06	0.000899314753631546	CPLM	1.01	6	6	0
yagF	ResistanceType	No	1.2606321368357	0.043612051086463	8.52641600292883e-06	0.00174365207259895	CPLM	1.01	6	6	0
dapB	ResistanceType	No	0.122067995833341	0.00699985820343836	6.34804182049676e-05	0.0103853964183327	CPLM	1.01	6	6	0
ydbD	ResistanceType	No	0.876686490950321	0.0579211381147564	0.000111067980112907	0.0132992913063122	CPLM	1.01	6	6	0
yjbJ	ResistanceType	No	-0.246238497447915	0.0163694267269686	0.000113808116313185	0.0132992913063122	CPLM	1.99	6	6	0
yeaS	ResistanceType	No	-0.155153753669568	0.0110745138232667	0.000150588585819924	0.0153976829000872	CPLM	1.99	6	6	0
ybaL	ResistanceType	No	-0.143836326678219	0.0121248541842175	0.00028912428957198	0.0262781854299866	CPLM	1.99	6	6	0
yebA	ResistanceType	No	-0.0754707928534712	0.00702158139009577	0.000424737445090199	0.0347435230083783	CPLM	1.99	6	6	0
