feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
yjiY	ResistanceType	No	-1.15564097106487	0.0179420483200953	3.48056734613702e-07	0.000331350011352244	CPLM	1.418	6	6	0
hsdR	ResistanceType	No	-1.12876410618179	0.0215923461282101	8.01454919547624e-07	0.000381492541704669	CPLM	1.99	6	6	0
yagG	ResistanceType	No	1.04278056420101	0.0274804413875042	2.88048947161891e-06	0.0009140753256604	CPLM	1.01	6	6	0
ydbD	ResistanceType	No	0.89572091216478	0.0284549726025514	6.06983420839569e-06	0.00144462054159818	CPLM	1.01	6	6	0
yagF	ResistanceType	No	1.32233720524065	0.0461834583110603	8.85532964286857e-06	0.00168605476400218	CPLM	1.01	6	6	0
ivy	ResistanceType	No	-0.0892827797185475	0.00547231065849344	8.25969896352877e-05	0.0131053890221323	CPLM	1.99	6	6	0
putA	ResistanceType	No	0.148656657779995	0.0102253255035877	0.00013018063708561	0.017704566643643	CPLM	1.99	6	6	0
nagE	ResistanceType	No	0.14027615857392	0.0105679165986186	0.000186173100364108	0.0221545989433289	CPLM	1.01	6	6	0
tsx	ResistanceType	No	0.155122987918079	0.0122231926845352	0.000222033779752797	0.0234862398138514	CPLM	1.01	6	6	0
ryeE	ResistanceType	No	0.218535029498778	0.017815568306433	0.000253667396661462	0.0241491361621712	CPLM	1.01	6	6	0
gcvP	ResistanceType	No	0.12764379357696	0.0115540114936274	0.000381703311954024	0.0330346866345664	CPLM	1.01	6	6	0
yceB	ResistanceType	No	-0.0852527860795076	0.00840844519981385	0.000532754369303244	0.042265179964724	CPLM	1.99	6	6	0
argF	ResistanceType	No	0.226162499493025	0.0234802331868572	0.000649678136926897	0.0475764297195697	CPLM	1.01	6	6	0
