feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
ydbD	ResistanceType	No	0.856245256044103	0.00712277548398539	2.8718068813037e-08	1.88390531413523e-05	CPLM	1.01	6	6	0
hsdR	ResistanceType	No	-1.15201487613888	0.0189120603868867	4.35005151983888e-07	7.59741045010439e-05	CPLM	1.99	6	6	0
yagG	ResistanceType	No	1.09280640238884	0.018224770112417	4.63256734762463e-07	7.59741045010439e-05	CPLM	1.01	6	6	0
yjiY	ResistanceType	No	-1.15636664639744	0.0174690610065946	3.12023139865737e-07	7.59741045010439e-05	CPLM	1.066	6	6	0
yagF	ResistanceType	No	1.26664364343607	0.03428373372535	3.20455543135287e-06	0.000420437672593497	CPLM	1.01	6	6	0
emrB	ResistanceType	No	0.151290141164965	0.00692366943854722	2.59546066888199e-05	0.00283770366464431	CPLM	1.01	6	6	0
ryeE	ResistanceType	No	0.197619778744055	0.0116865281304407	7.16991012176079e-05	0.0067192300569644	CPLM	1.01	6	6	0
osmB	ResistanceType	No	-0.189434688562086	0.0184097171066659	0.000503083842859213	0.0330023000915644	CPLM	1.99	6	6	0
osmY	ResistanceType	No	-0.0929303958496238	0.00882118109811694	0.000459176678307853	0.0330023000915644	CPLM	1.99	6	6	0
ydeH	ResistanceType	No	-0.18239829751209	0.0176179116125868	0.000491298194871477	0.0330023000915644	CPLM	1.99	6	6	0
bdm	ResistanceType	No	-0.195259442748251	0.0208217547658023	0.000720353993125818	0.0429592926809579	CPLM	1.99	6	6	0
