feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
hsdR	ResistanceType	No	-1.10770645102491	0.00645910709639221	6.93496087317511e-09	4.56320425454922e-06	CPLM	1.99	6	6	0
yjiY	ResistanceType	No	-1.16004210708241	0.0107170820776448	4.36832949868802e-08	1.43718040506836e-05	CPLM	1.01	6	6	0
yagF	ResistanceType	No	1.30030987513969	0.0223435240001186	5.22054806209105e-07	0.00011450402082853	CPLM	1.01	6	6	0
ydbD	ResistanceType	No	0.971888474608381	0.0341324704187353	9.05302625484204e-06	0.00148922281892152	CPLM	1.01	6	6	0
yagG	ResistanceType	No	1.02494729645824	0.0526581673778551	4.10775204119589e-05	0.00540580168621379	CPLM	1.01	6	6	0
pdxY	ResistanceType	No	0.118465343377996	0.0107334464282585	0.000383125523871475	0.0360137992439187	CPLM	1.01	6	6	0
sdaC	ResistanceType	No	0.203359859931679	0.0178641128982899	0.000339623616387586	0.0360137992439187	CPLM	1.01	6	6	0
modF	ResistanceType	No	0.147816632101561	0.017996920423681	0.00119758560254169	0.0985014158090543	CPLM	1.01	6	6	0
dadA	ResistanceType	No	-0.125773456795673	0.0175821403523344	0.00202078245333641	0.107587896369237	CPLM	1.99	6	6	0
ilvN	ResistanceType	No	-0.120705355438454	0.0164542366633257	0.001838155813366	0.107587896369237	CPLM	1.99	6	6	0
malG	ResistanceType	No	-0.109188058383071	0.0149490175876226	0.00186848429672345	0.107587896369237	CPLM	1.99	6	6	0
sdhB	ResistanceType	No	-0.0621888868791065	0.00847856710098075	0.00183908882338638	0.107587896369237	CPLM	1.99	6	6	0
yeeF	ResistanceType	No	0.10844854023135	0.0153658210964324	0.00212559673677823	0.107587896369237	CPLM	1.01	6	6	0
ilvB	ResistanceType	No	-0.117699449152467	0.0174504771912345	0.00251869283475023	0.118378563233261	CPLM	1.99	6	6	0
livH	ResistanceType	No	0.127125254154143	0.020863756934827	0.00366920197071151	0.150427900848136	CPLM	1.01	6	6	0
livM	ResistanceType	No	0.12208244821118	0.0212345736395576	0.00453762709253087	0.150427900848136	CPLM	1.01	6	6	0
oppB	ResistanceType	No	0.100911553409686	0.0173500816951963	0.00435020630666635	0.150427900848136	CPLM	1.01	6	6	0
tbpA	ResistanceType	No	0.139085720594916	0.0234557044587006	0.00405371038004598	0.150427900848136	CPLM	1.01	6	6	0
yfbR	ResistanceType	No	0.130433531723477	0.0219912546426123	0.00405012057879549	0.150427900848136	CPLM	1.01	6	6	0
ysaB	ResistanceType	No	0.178951978842535	0.0311914086539918	0.00457227662152388	0.150427900848136	CPLM	1.01	6	6	0
dadX	ResistanceType	No	-0.117224002934966	0.0212344584342773	0.00525718195881479	0.16472503470953	CPLM	1.99	6	6	0
argE	ResistanceType	No	0.0766526118608901	0.0156872521864666	0.00812365784137014	0.205591033062367	CPLM	1.01	6	6	0
oppC	ResistanceType	No	0.0893340744121666	0.0180823018302603	0.00781446590202594	0.205591033062367	CPLM	1.01	6	6	0
ybcI	ResistanceType	No	0.303057732580497	0.0619623922049796	0.00809624815525241	0.205591033062367	CPLM	1.01	6	6	0
yfcX	ResistanceType	No	-0.122974399244454	0.024441225965019	0.0073260933238075	0.205591033062367	CPLM	1.99	6	6	0
ytfK	ResistanceType	No	-0.0976045108480442	0.019126357853657	0.0069673411926151	0.205591033062367	CPLM	1.99	6	6	0
livK	ResistanceType	No	0.135859872489027	0.028825891097211	0.00921837543092276	0.22465522346471	CPLM	1.01	6	6	0
yhcH	ResistanceType	No	-0.111460519196293	0.0239375103750999	0.00961599959046054	0.225975990375823	CPLM	1.99	6	6	0
fadA	ResistanceType	No	-0.275823663130076	0.0715722403051494	0.0182436918546524	0.294028294215165	CPLM	1.99	6	6	0
ffs	ResistanceType	No	0.107991951335131	0.0260881577998861	0.0143823532338396	0.294028294215165	CPLM	1.01	6	6	0
