feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
hsdR	ResistanceType	No	-1.10296667469863	0.00615203630990754	5.80613564210058e-09	3.0424150764607e-06	CPLM	1.99	6	6	0
yjiY	ResistanceType	No	-1.16007589062826	0.0192248948572126	4.51717388649502e-07	0.00011834995582617	CPLM	1.935	6	6	0
yagG	ResistanceType	No	1.08388148705094	0.0246526855391787	1.6002383330368e-06	0.000279508295503762	CPLM	1.01	6	6	0
yagF	ResistanceType	No	1.28503084781839	0.0562573416794707	2.1761309405448e-05	0.00228058522569095	CPLM	1.01	6	6	0
yifE	ResistanceType	No	0.113946917522907	0.0049272267626147	2.07184254863751e-05	0.00228058522569095	CPLM	1.01	6	6	0
ydbD	ResistanceType	No	0.84322993456206	0.0420975580165325	3.66617127858491e-05	0.00320178958329749	CPLM	1.01	6	6	0
rbbA	ResistanceType	No	0.189459523791263	0.0131738372285834	0.000135851412891533	0.0101694486221662	CPLM	1.01	6	6	0
argF	ResistanceType	No	0.173797100357435	0.0134765912681583	0.000208492351409068	0.0136562490172939	CPLM	1.99	6	6	0
yhiI	ResistanceType	No	0.142253940096218	0.0123177872953929	0.000321086700293035	0.0186943812170611	CPLM	1.01	6	6	0
metN	ResistanceType	No	0.11629810026949	0.0109006519118334	0.000437172806097428	0.0208253227631866	CPLM	1.01	6	6	0
yhhJ	ResistanceType	No	0.186032592370055	0.0170251248534589	0.000398371410393403	0.0208253227631866	CPLM	1.01	6	6	0
ryjA	ResistanceType	No	-0.213789137904217	0.025390494674166	0.0010892317948944	0.0475631217103889	CPLM	1.99	6	6	0
yaeJ	ResistanceType	No	-0.0926037819143603	0.0112576322696298	0.00119070164653595	0.0479944355988335	CPLM	1.99	6	6	0
yncC	ResistanceType	No	-0.227100231157507	0.0293853083027664	0.00150944582737424	0.0564964009674358	CPLM	1.99	6	6	0
rssB	ResistanceType	No	-0.0700808722906333	0.00958320224209778	0.00185997299839856	0.0609141156975527	CPLM	1.99	6	6	0
ybdD	ResistanceType	No	0.147597700019637	0.0201358427104781	0.00184357123572347	0.0609141156975527	CPLM	1.01	6	6	0
pntA	ResistanceType	No	0.114585356134557	0.0160972093914306	0.00205851296553101	0.063450634937544	CPLM	1.01	6	6	0
