feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
hsdR	ResistanceType	No	-1.12116018165165	0.0173826252382593	3.46135713704943e-07	5.26126284831514e-05	CPLM	1.99	6	6	0
yjiY	ResistanceType	No	-1.17291704291711	0.0229191017934693	8.72504666494556e-07	6.63103546535862e-05	CPLM	1.99	6	6	0
yagF	ResistanceType	No	1.23151836340908	0.0319702108680474	2.71282012739053e-06	0.00013744955312112	CPLM	1.01	6	6	0
yagG	ResistanceType	No	1.04266251195069	0.0457026519402376	2.18675166699452e-05	0.000830965633457919	CPLM	1.01	6	6	0
ybaY	ResistanceType	No	-0.100626339009302	0.00635663994082711	9.3056918168745e-05	0.00282893031232985	CPLM	1.99	6	6	0
osmC	ResistanceType	No	-0.105726158221101	0.00830164210483878	0.000218995068021443	0.00475532147703704	CPLM	1.99	6	6	0
yoaC	ResistanceType	No	-0.0937410255523161	0.00728487135693772	0.000210297339691934	0.00475532147703704	CPLM	1.99	6	6	0
sra	ResistanceType	No	-0.0783208840602846	0.00676532929687605	0.000318050915464081	0.005900668235216	CPLM	1.99	6	6	0
ydbD	ResistanceType	No	0.850825822091853	0.0752855839114644	0.000349381671822	0.005900668235216	CPLM	1.01	6	6	0
yodD	ResistanceType	No	-0.145336448798994	0.013385556095195	0.000408347635366965	0.00620688405757787	CPLM	1.99	6	6	0
ecnB	ResistanceType	No	-0.113003657827942	0.0108925835257984	0.000487384239685449	0.00629807664641991	CPLM	1.99	6	6	0
yncG	ResistanceType	No	-0.122608786514902	0.0118794331472717	0.000497216577348941	0.00629807664641991	CPLM	1.99	6	6	0
ysaB	ResistanceType	No	0.119317458047635	0.0132179429955852	0.000834198104674674	0.00975370091619619	CPLM	1.01	6	6	0
yjbH	ResistanceType	No	0.459259829734507	0.0520053778993717	0.000907544318941091	0.00985333831993184	CPLM	1.01	6	6	0
yjbF	ResistanceType	No	0.421346988827806	0.0514185179930864	0.00120819573557465	0.0122430501204898	CPLM	1.01	6	6	0
yncC	ResistanceType	No	-0.161710933834446	0.0201880429526521	0.00131747523167971	0.0125160147009573	CPLM	1.99	6	6	0
rpoS	ResistanceType	No	-0.0842733150700357	0.0118333344606686	0.00205487753806141	0.018373022693255	CPLM	1.99	6	6	0
yeaQ	ResistanceType	No	-0.0888567467456263	0.0131007555349047	0.0024667219536774	0.0208300964977203	CPLM	1.99	6	6	0
argF	ResistanceType	No	0.214141011663588	0.0325777734930513	0.00277224767588625	0.0210690823367355	CPLM	1.01	6	6	0
yiaB	ResistanceType	No	0.436560013651396	0.0657016507504302	0.00266312393765767	0.0210690823367355	CPLM	1.01	6	6	0
malZ	ResistanceType	No	0.168877897317412	0.0267492822725485	0.00321920579008335	0.0213093290739994	CPLM	1.01	6	6	0
yhcO	ResistanceType	No	-0.105958887514311	0.0166902380982068	0.00315373480567705	0.0213093290739994	CPLM	1.99	6	6	0
yjdJ	ResistanceType	No	-0.107877528030933	0.0171869081545117	0.00328914471665005	0.0213093290739994	CPLM	1.99	6	6	0
yjjZ	ResistanceType	No	0.162003760620735	0.0259694413373603	0.00336463090642096	0.0213093290739994	CPLM	1.01	6	6	0
yedP	ResistanceType	No	-0.112782829927666	0.0185137260667868	0.00367200206845349	0.0214670890155742	CPLM	1.99	6	6	0
yhjG	ResistanceType	No	-0.114540554311404	0.0186174173647018	0.00354099459242065	0.0214670890155742	CPLM	1.99	6	6	0
yiaG	ResistanceType	No	-0.0994330600030232	0.017291322315678	0.00453409623854781	0.025525282528121	CPLM	1.99	6	6	0
yahO	ResistanceType	No	-0.0799906710950147	0.0142411518722495	0.00493805519797505	0.025949437294969	CPLM	1.99	6	6	0
ybcI	ResistanceType	No	0.293409178229217	0.0522745611085989	0.00495087948390855	0.025949437294969	CPLM	1.01	6	6	0
phnB	ResistanceType	No	-0.145283843331483	0.0269076996002157	0.00569470547822318	0.0288531744229974	CPLM	1.99	6	6	0
yjdI	ResistanceType	No	-0.0894034227657041	0.0173851789101109	0.00677950125370439	0.0332414255020344	CPLM	1.99	6	6	0
yjbG	ResistanceType	No	0.546002834044174	0.109951321309573	0.00767404584445437	0.0364517177611583	CPLM	1.01	6	6	0
ycgB	ResistanceType	No	-0.0869074828062122	0.0184426610726271	0.00922392017368889	0.0424859353454761	CPLM	1.99	6	6	0
yabI	ResistanceType	No	0.117476420001649	0.0253788384127599	0.00981521786801431	0.0438797975275934	CPLM	1.01	6	6	0
phoH	ResistanceType	No	-0.14162127012987	0.032991416628314	0.0127192149593923	0.0552377335379321	CPLM	1.99	6	6	0
yehE	ResistanceType	No	-0.0964901757558868	0.0231392467206969	0.0140314262328211	0.0592437996496892	CPLM	1.99	6	6	0
ugd	ResistanceType	No	0.427145626196972	0.104977149282964	0.0152362320530119	0.0614889022096482	CPLM	1.01	6	6	0
yjbE	ResistanceType	No	0.41748110465459	0.102874960705116	0.0153722255524121	0.0614889022096482	CPLM	1.01	6	6	0
mlrA	ResistanceType	No	-0.0939644602082768	0.0234388337546752	0.0160109186540857	0.0624015291133595	CPLM	1.99	6	6	0
gntT	ResistanceType	No	0.130846475758323	0.0335973541658266	0.0176226075955206	0.0662586318118611	CPLM	1.01	6	6	0
ybeL	ResistanceType	No	-0.0840893847449571	0.0216839937052271	0.0178723941071467	0.0662586318118611	CPLM	1.99	6	6	0
poxB	ResistanceType	No	-0.0962727422580573	0.0255560334963271	0.0196533033668853	0.0690706914992675	CPLM	1.99	6	6	0
rcsA	ResistanceType	No	0.194835380340141	0.0521874016588065	0.0202372563123023	0.0690706914992675	CPLM	1.01	6	6	0
yciG	ResistanceType	No	-0.111087027622608	0.029850427907607	0.0204485599833358	0.0690706914992675	CPLM	1.99	6	6	0
ygjG	ResistanceType	No	-0.0951013576065575	0.0255413949465542	0.0204135492984148	0.0690706914992675	CPLM	1.99	6	6	0
psiF	ResistanceType	No	-0.0759388889657439	0.0209833145144233	0.0223767857596928	0.0739406833798544	CPLM	1.99	6	6	0
yghA	ResistanceType	No	0.109609583059475	0.0305364127090505	0.0229726472664139	0.0742945188190408	CPLM	1.01	6	6	0
valW	ResistanceType	No	0.094791632003836	0.0268176904727444	0.0241289115106296	0.0764082197836603	CPLM	1.01	6	6	0
