feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
yagG	ResistanceType	No	1.02109611935148	0.0175068241997854	5.17444316793535e-07	0.000209047503984588	CPLM	1.01	6	6	0
yjiY	ResistanceType	No	-1.17205872840388	0.0195753223789321	4.65996066446377e-07	0.000209047503984588	CPLM	1.963	6	6	0
hsdR	ResistanceType	No	-1.13164934382585	0.0235886027247224	1.12942052934491e-06	0.000228142946927671	CPLM	1.99	6	6	0
yagF	ResistanceType	No	1.25327157151944	0.0252975005478906	9.93349802429592e-07	0.000228142946927671	CPLM	1.01	6	6	0
ydbD	ResistanceType	No	0.876012920570207	0.0571308958343673	0.000105530549704888	0.0170537368323099	CPLM	1.01	6	6	0
yeeV	ResistanceType	No	0.170034116750347	0.0148149844384113	0.000328961894864795	0.0443002018417924	CPLM	1.01	6	6	0
cpxP	ResistanceType	No	-0.120285663625595	0.0156704201413412	0.00154885297957843	0.178781886785624	CPLM	1.99	6	6	0
rzoR	ResistanceType	No	0.160095246618108	0.0221219663870035	0.00193454071631125	0.195388612347436	CPLM	1.01	6	6	0
serW	ResistanceType	No	0.147393711250219	0.0213252655250199	0.00229885871427026	0.206386426792263	CPLM	1.01	6	6	0
serX	ResistanceType	No	0.146453427554056	0.0230607756966312	0.0031496886629457	0.254494843966012	CPLM	1.01	6	6	0
argF	ResistanceType	No	0.269639756472415	0.0545809065197631	0.00781575111291107	0.371478052896009	CPLM	1.01	6	6	0
hha	ResistanceType	No	-0.0598591139993801	0.0107422074529798	0.00508245163679754	0.371478052896009	CPLM	1.99	6	6	0
lamB	ResistanceType	No	0.24555145995735	0.0457450928524582	0.00581579033562859	0.371478052896009	CPLM	1.01	6	6	0
ryeE	ResistanceType	No	0.202139182471794	0.0392611710922823	0.00675109303379027	0.371478052896009	CPLM	1.01	6	6	0
thrU	ResistanceType	No	0.0848245919035468	0.0169390232526111	0.0074500613102606	0.371478052896009	CPLM	1.01	6	6	0
ydeH	ResistanceType	No	-0.132849971910133	0.0266934297553837	0.00761418858099139	0.371478052896009	CPLM	1.99	6	6	0
yggH	ResistanceType	No	0.0900448511657956	0.0173142775458365	0.00651340741813593	0.371478052896009	CPLM	1.01	6	6	0
dadA	ResistanceType	No	-0.13067348680525	0.0288171434185777	0.0105405475315266	0.372661326227629	CPLM	1.99	6	6	0
frdB	ResistanceType	No	-0.131084206320268	0.0286699085688857	0.0102438100658128	0.372661326227629	CPLM	1.99	6	6	0
malM	ResistanceType	No	0.239020107108388	0.051894127307083	0.00998628106423743	0.372661326227629	CPLM	1.01	6	6	0
proM	ResistanceType	No	0.0914812023000881	0.0203196668049083	0.0108051509551768	0.372661326227629	CPLM	1.01	6	6	0
ybaJ	ResistanceType	No	-0.10735794465729	0.0240139502755901	0.011069148303791	0.372661326227629	CPLM	1.99	6	6	0
yfiA	ResistanceType	No	-0.0658748239754192	0.0137723468939051	0.0087554959682639	0.372661326227629	CPLM	1.99	6	6	0
yohC	ResistanceType	No	-0.213521753004397	0.0450770805635213	0.0090584434613207	0.372661326227629	CPLM	1.99	6	6	0
cbl	ResistanceType	No	0.119582001498866	0.0317558706122855	0.0196781114009339	0.38780278077938	CPLM	1.01	6	6	0
ffs	ResistanceType	No	0.121059369051849	0.0314210074962836	0.018258687822677	0.38780278077938	CPLM	1.01	6	6	0
frdA	ResistanceType	No	-0.129183206793357	0.0327270493071243	0.0168562668580765	0.38780278077938	CPLM	1.99	6	6	0
frdC	ResistanceType	No	-0.13123800590532	0.0341355700283924	0.0183869669880379	0.38780278077938	CPLM	1.99	6	6	0
gltJ	ResistanceType	No	0.103774556239251	0.0266246592268382	0.0175758485285564	0.38780278077938	CPLM	1.01	6	6	0
IS092	ResistanceType	No	-0.102820334626843	0.0258463606971809	0.0164266618275657	0.38780278077938	CPLM	1.99	6	6	0
lysC	ResistanceType	No	0.105540747106216	0.0276583718508181	0.0188449373230831	0.38780278077938	CPLM	1.01	6	6	0
metA	ResistanceType	No	0.150860748089433	0.0399354689597192	0.0194759069067443	0.38780278077938	CPLM	1.01	6	6	0
mlrA	ResistanceType	No	-0.0976488777650714	0.0224462021559656	0.0121537281691235	0.38780278077938	CPLM	1.99	6	6	0
putP	ResistanceType	No	0.107312310904848	0.0272139403092423	0.01691306288126	0.38780278077938	CPLM	1.01	6	6	0
trpD	ResistanceType	No	0.104634658408257	0.0273407660353105	0.0186650809879878	0.38780278077938	CPLM	1.01	6	6	0
trpE	ResistanceType	No	0.0968568203159176	0.0247244064607035	0.0172846985176482	0.38780278077938	CPLM	1.01	6	6	0
yeaS	ResistanceType	No	-0.148428476165063	0.0393390692397221	0.0195527552618805	0.38780278077938	CPLM	1.99	6	6	0
yeeD	ResistanceType	No	-0.116470527078562	0.0301898529397663	0.0181791823982036	0.38780278077938	CPLM	1.99	6	6	0
yeeY	ResistanceType	No	-0.118143640842253	0.0297997053551571	0.0166136789926718	0.38780278077938	CPLM	1.99	6	6	0
ygiT	ResistanceType	No	-0.0937723141454767	0.024174716413185	0.0178573124832018	0.38780278077938	CPLM	1.99	6	6	0
ynfD	ResistanceType	No	-0.100421791859705	0.0266457177053629	0.0196252010268219	0.38780278077938	CPLM	1.99	6	6	0
yfiD	ResistanceType	No	-0.124700102545475	0.0339927128027651	0.0214205939668438	0.41209142679071	CPLM	1.99	6	6	0
alaW	ResistanceType	No	0.0951519066000121	0.0264052751856096	0.0226869794955208	0.424902336318827	CPLM	1.01	6	6	0
alaX	ResistanceType	No	0.0967568499589171	0.0274481248967298	0.0243382468851521	0.424902336318827	CPLM	1.01	6	6	0
aroA	ResistanceType	No	0.0839164872754799	0.0239087417295847	0.0246748902780068	0.424902336318827	CPLM	1.01	6	6	0
polB	ResistanceType	No	-0.153808368286627	0.0434991209419796	0.0241022536091339	0.424902336318827	CPLM	1.99	6	6	0
ybiC	ResistanceType	No	0.0907995516532374	0.0258833313387953	0.0247158537215159	0.424902336318827	CPLM	1.01	6	6	0
uspG	ResistanceType	No	-0.0839981540363247	0.0241635623299076	0.0254389671104682	0.428222613026214	CPLM	1.99	6	6	0
argE	ResistanceType	No	0.138839381270389	0.0403004894016386	0.0261712892196171	0.431559218152053	CPLM	1.01	6	6	0
gltI	ResistanceType	No	0.124121556149707	0.0364929480369483	0.0272459919525839	0.440295229953756	CPLM	1.01	6	6	0
