feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
ydbD	ResistanceType	No	0.856245256044103	0.00712277548398539	2.8718068813037e-08	1.88390531413523e-05	CPLM	1.01	6	6	0
hsdR	ResistanceType	No	-1.15201487613888	0.0189120603868867	4.35005151983888e-07	7.59741045010439e-05	CPLM	1.99	6	6	0
yagG	ResistanceType	No	1.09280640238884	0.018224770112417	4.63256734762463e-07	7.59741045010439e-05	CPLM	1.01	6	6	0
yjiY	ResistanceType	No	-1.15636664639744	0.0174690610065946	3.12023139865737e-07	7.59741045010439e-05	CPLM	1.066	6	6	0
yagF	ResistanceType	No	1.26664364343607	0.03428373372535	3.20455543135287e-06	0.000420437672593497	CPLM	1.01	6	6	0
emrB	ResistanceType	No	0.151290141164965	0.00692366943854722	2.59546066888199e-05	0.00283770366464431	CPLM	1.01	6	6	0
ryeE	ResistanceType	No	0.197619778744055	0.0116865281304407	7.16991012176079e-05	0.0067192300569644	CPLM	1.01	6	6	0
osmB	ResistanceType	No	-0.189434688562086	0.0184097171066659	0.000503083842859213	0.0330023000915644	CPLM	1.99	6	6	0
osmY	ResistanceType	No	-0.0929303958496238	0.00882118109811694	0.000459176678307853	0.0330023000915644	CPLM	1.99	6	6	0
ydeH	ResistanceType	No	-0.18239829751209	0.0176179116125868	0.000491298194871477	0.0330023000915644	CPLM	1.99	6	6	0
bdm	ResistanceType	No	-0.195259442748251	0.0208217547658023	0.000720353993125818	0.0429592926809579	CPLM	1.99	6	6	0
proK	ResistanceType	No	0.135256895308989	0.0162389788426312	0.00113533914613737	0.057290959989701	CPLM	1.01	6	6	0
pyrE	ResistanceType	No	0.151575609989763	0.0181769865871024	0.00113029251284899	0.057290959989701	CPLM	1.01	6	6	0
nadB	ResistanceType	No	0.137224237238971	0.0175445241738384	0.00144241098535008	0.0675872575992607	CPLM	1.01	6	6	0
yeeV	ResistanceType	No	0.162378000634714	0.0222088051098627	0.00186137477161226	0.0763163656361028	CPLM	1.01	6	6	0
ytjA	ResistanceType	No	-0.0908181908642157	0.0123457172798261	0.00181898905108536	0.0763163656361028	CPLM	1.99	6	6	0
argF	ResistanceType	No	0.272702545836555	0.0422176153328209	0.00295787171993305	0.114139049898593	CPLM	1.01	6	6	0
aroA	ResistanceType	No	0.104425793361975	0.0177474624729345	0.00417008414234151	0.137024243183832	CPLM	1.01	6	6	0
otsB	ResistanceType	No	-0.0655621630357597	0.0110795615346807	0.00408466680182266	0.137024243183832	CPLM	1.99	6	6	0
yedS_3	ResistanceType	No	0.205412507102244	0.0349275839858726	0.00417756838975098	0.137024243183832	CPLM	1.01	6	6	0
emrA	ResistanceType	No	0.144498814504652	0.0251453871361235	0.00454537813279782	0.137338419280528	CPLM	1.01	6	6	0
rzoR	ResistanceType	No	0.169192764173944	0.0299912475057003	0.00486065295494007	0.137338419280528	CPLM	1.01	6	6	0
serW	ResistanceType	No	0.142325304941595	0.0257847175852703	0.00525961364756372	0.137338419280528	CPLM	1.01	6	6	0
tgt	ResistanceType	No	0.115402315742114	0.0211070137644021	0.0054432910080697	0.137338419280528	CPLM	1.01	6	6	0
yciG	ResistanceType	No	-0.244269967868542	0.0435558618805218	0.00496576070715302	0.137338419280528	CPLM	1.99	6	6	0
yebV	ResistanceType	No	-0.130222848996514	0.0234293470901517	0.00512964092411653	0.137338419280528	CPLM	1.99	6	6	0
serX	ResistanceType	No	0.140952980306873	0.0261736214548578	0.00574823336646343	0.139660781051852	CPLM	1.01	6	6	0
ilvL	ResistanceType	No	0.112719044566346	0.0214321241596927	0.00625726025041136	0.144713189615828	CPLM	1.01	6	6	0
valW	ResistanceType	No	0.154487892964993	0.0295565242784312	0.00639738185801677	0.144713189615828	CPLM	1.01	6	6	0
uraA	ResistanceType	No	0.180638889388707	0.0349408101095567	0.00665264775151482	0.145471230833124	CPLM	1.01	6	6	0
elaB	ResistanceType	No	-0.0667190711444503	0.013578467532324	0.00796588573145838	0.164893478726655	CPLM	1.99	6	6	0
osmC	ResistanceType	No	-0.121802964144069	0.0248573900730034	0.00804358432812953	0.164893478726655	CPLM	1.99	6	6	0
proM	ResistanceType	No	0.104380288140476	0.0217393374965116	0.00863902510933764	0.165882568988214	CPLM	1.01	6	6	0
qor	ResistanceType	No	-0.0825527996836154	0.0173124655740643	0.00885044194296874	0.165882568988214	CPLM	1.99	6	6	0
ybaY	ResistanceType	No	-0.142078905413695	0.0294091838679309	0.0084544804633834	0.165882568988214	CPLM	1.99	6	6	0
adhP	ResistanceType	No	-0.0739088635764239	0.0156427995472488	0.00913921251692533	0.166536761419528	CPLM	1.99	6	6	0
argD	ResistanceType	No	0.117699215461122	0.0252569745005309	0.00958907608308598	0.17001172731093	CPLM	1.01	6	6	0
modF	ResistanceType	No	0.151212610887743	0.0332135407783261	0.0103959555112354	0.179467021457117	CPLM	1.01	6	6	0
livM	ResistanceType	No	0.174990932800565	0.0388197919598919	0.0107583361262439	0.180960730738872	CPLM	1.01	6	6	0
phnB	ResistanceType	No	-0.273999347798906	0.0618876502342416	0.0114453309620175	0.187703427777088	CPLM	1.99	6	6	0
ydeI	ResistanceType	No	-0.164128897758348	0.0380583042904612	0.0125206552004125	0.2003304832066	CPLM	1.99	6	6	0
ecnB	ResistanceType	No	-0.143685550136261	0.034509023240333	0.0141027631167527	0.203210172933141	CPLM	1.99	6	6	0
frdA	ResistanceType	No	-0.121328760017866	0.0299651670130016	0.0154885802540504	0.203210172933141	CPLM	1.99	6	6	0
poxB	ResistanceType	No	-0.10697503702355	0.025447431755731	0.0136544004468666	0.203210172933141	CPLM	1.99	6	6	0
putA	ResistanceType	No	0.139266842274892	0.0343434461583849	0.015410517956851	0.203210172933141	CPLM	1.01	6	6	0
putP	ResistanceType	No	0.133929421691735	0.0316043323527645	0.0132880433944659	0.203210172933141	CPLM	1.01	6	6	0
rpoS	ResistanceType	No	-0.0575989992384199	0.0139774582709288	0.0146023277011459	0.203210172933141	CPLM	1.99	6	6	0
yceB	ResistanceType	No	-0.0698205802302027	0.0171588154761115	0.0152344762046886	0.203210172933141	CPLM	1.99	6	6	0
ychN	ResistanceType	No	0.119321561919742	0.0292636172391028	0.015129796923785	0.203210172933141	CPLM	1.01	6	6	0
ydiJ	ResistanceType	No	0.107862712819307	0.0263442427950156	0.0149217961397867	0.203210172933141	CPLM	1.01	6	6	0
ybaJ	ResistanceType	No	-0.0650556948788673	0.0162370588885466	0.0160415911478593	0.206338897901877	CPLM	1.99	6	6	0
valV	ResistanceType	No	0.137111432350486	0.0347611169776585	0.016897359172015	0.209144672015884	CPLM	1.01	6	6	0
yhfZ	ResistanceType	No	0.134704349890823	0.0339741845138747	0.0166093396089966	0.209144672015884	CPLM	1.01	6	6	0
livH	ResistanceType	No	0.179592724553185	0.0459227673689309	0.0173827367429753	0.210971963852444	CPLM	1.01	6	6	0
yciF	ResistanceType	No	-0.1576742568824	0.0405315509272509	0.0176881981888482	0.210971963852444	CPLM	1.99	6	6	0
rbsD	ResistanceType	No	0.149256910378351	0.0391471699452278	0.0188960726649056	0.215642461246631	CPLM	1.01	6	6	0
yliD	ResistanceType	No	0.123656134673843	0.0323938477182216	0.0188222771096086	0.215642461246631	CPLM	1.01	6	6	0
yodD	ResistanceType	No	-0.172667046862212	0.0454112443768121	0.0190659493175375	0.215642461246631	CPLM	1.99	6	6	0
livK	ResistanceType	No	0.20333302957983	0.0540833969939973	0.0197813941929935	0.216276576510062	CPLM	1.01	6	6	0
yciE	ResistanceType	No	-0.162848107682534	0.0431587795501064	0.01954975837045	0.216276576510062	CPLM	1.99	6	6	0
frdC	ResistanceType	No	-0.128915497882678	0.0353689125264505	0.0218700949160386	0.220719727152636	CPLM	1.99	6	6	0
livG	ResistanceType	No	0.164672037757776	0.0444431785073723	0.0207403893069885	0.220719727152636	CPLM	1.01	6	6	0
yhbO	ResistanceType	No	-0.214728557301674	0.0587468864066212	0.0216728098073102	0.220719727152636	CPLM	1.99	6	6	0
yjeF	ResistanceType	No	-0.0961299393266195	0.0261626207470121	0.0213099709952986	0.220719727152636	CPLM	1.99	6	6	0
yncB	ResistanceType	No	-0.0750019461892532	0.0203651521430774	0.0211508404436472	0.220719727152636	CPLM	1.99	6	6	0
