feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
hsdR	ResistanceType	No	-1.12837729628849	0.00683387764018088	8.07042668035611e-09	6.6016090245313e-06	CPLM	1.99	6	6	0
yjiY	ResistanceType	No	-1.17070740512248	0.0156884946843271	1.93269409804141e-07	7.90471886098939e-05	CPLM	1.01	6	6	0
yagG	ResistanceType	No	1.02773205494991	0.0280187805093881	3.29822036784186e-06	0.000899314753631546	CPLM	1.01	6	6	0
yagF	ResistanceType	No	1.2606321368357	0.043612051086463	8.52641600292883e-06	0.00174365207259895	CPLM	1.01	6	6	0
dapB	ResistanceType	No	0.122067995833341	0.00699985820343836	6.34804182049676e-05	0.0103853964183327	CPLM	1.01	6	6	0
ydbD	ResistanceType	No	0.876686490950321	0.0579211381147564	0.000111067980112907	0.0132992913063122	CPLM	1.01	6	6	0
yjbJ	ResistanceType	No	-0.246238497447915	0.0163694267269686	0.000113808116313185	0.0132992913063122	CPLM	1.99	6	6	0
yeaS	ResistanceType	No	-0.155153753669568	0.0110745138232667	0.000150588585819924	0.0153976829000872	CPLM	1.99	6	6	0
ybaL	ResistanceType	No	-0.143836326678219	0.0121248541842175	0.00028912428957198	0.0262781854299866	CPLM	1.99	6	6	0
yebA	ResistanceType	No	-0.0754707928534712	0.00702158139009577	0.000424737445090199	0.0347435230083783	CPLM	1.99	6	6	0
argE	ResistanceType	No	0.122695218847479	0.0128745972057661	0.00067694013286224	0.0503397298801193	CPLM	1.01	6	6	0
pntA	ResistanceType	No	0.106002278549663	0.0114075650096185	0.000746197170501527	0.0508657737891874	CPLM	1.01	6	6	0
argD	ResistanceType	No	0.114978028735606	0.0145173802898366	0.00137544041409348	0.0654081330596137	CPLM	1.01	6	6	0
cpxP	ResistanceType	No	-0.13589250194055	0.0173245211585712	0.00142680169065295	0.0654081330596137	CPLM	1.99	6	6	0
deaD	ResistanceType	No	-0.119085247128825	0.0144489815185746	0.00118196034375303	0.0654081330596137	CPLM	1.99	6	6	0
pntB	ResistanceType	No	0.084367951489164	0.0110267673787765	0.0015679301518706	0.0654081330596137	CPLM	1.01	6	6	0
tsx	ResistanceType	No	0.101910865299814	0.0131519057863654	0.00149444225157208	0.0654081330596137	CPLM	1.01	6	6	0
yaaY	ResistanceType	No	-0.228144540754374	0.027943579900609	0.00122519819320161	0.0654081330596137	CPLM	1.99	6	6	0
yieI	ResistanceType	No	-0.146563619022028	0.0189005634589944	0.00149027803340873	0.0654081330596137	CPLM	1.99	6	6	0
yjcB	ResistanceType	No	-0.262975261855352	0.0345503782651568	0.00159922085720327	0.0654081330596137	CPLM	1.99	6	6	0
argI	ResistanceType	No	0.399512023522706	0.0559045461489928	0.0020283935883555	0.0754193616033999	CPLM	1.01	6	6	0
gsk	ResistanceType	No	0.139272408291384	0.0194688240957237	0.00202064067205193	0.0754193616033999	CPLM	1.01	6	6	0
yhbO	ResistanceType	No	-0.148988058333705	0.0214450932527358	0.00225492473767971	0.0801968884966088	CPLM	1.99	6	6	0
iap	ResistanceType	No	-0.147098991284118	0.0216973102754225	0.0024707587915035	0.0842116954770775	CPLM	1.99	6	6	0
pheP	ResistanceType	No	0.107705409509819	0.0170754563586817	0.00323005455751857	0.105687385122008	CPLM	1.01	6	6	0
argB	ResistanceType	No	0.12769674703576	0.0215291006592013	0.00404961913769968	0.112458968337216	CPLM	1.01	6	6	0
gidB	ResistanceType	No	-0.0780423070227063	0.0128047539494728	0.00366549274040043	0.112458968337216	CPLM	1.99	6	6	0
nlpI	ResistanceType	No	-0.077817551303644	0.013131707258523	0.0040632025402662	0.112458968337216	CPLM	1.99	6	6	0
tbpA	ResistanceType	No	0.127168295171445	0.0209671158511822	0.00373176796044662	0.112458968337216	CPLM	1.01	6	6	0
yedS_3	ResistanceType	No	0.12877874505436	0.0218204549788462	0.00412441204170719	0.112458968337216	CPLM	1.01	6	6	0
dkgB	ResistanceType	No	0.223853036697545	0.0386861060827732	0.00443242695674104	0.113303914081693	CPLM	1.01	6	6	0
gcvB	ResistanceType	No	-0.152522732142559	0.0262403071575927	0.00436021290693554	0.113303914081693	CPLM	1.99	6	6	0
lysC	ResistanceType	No	0.132110274359373	0.0236098582914109	0.00500651494284248	0.124100885552883	CPLM	1.01	6	6	0
idi	ResistanceType	No	-0.124176282730419	0.0224354900446956	0.00520810175283998	0.125300800994797	CPLM	1.99	6	6	0
proP	ResistanceType	No	-0.108906483148129	0.0199859794609251	0.00550960429270485	0.128767323183788	CPLM	1.99	6	6	0
aldA	ResistanceType	No	0.199571511022289	0.0385156773170644	0.00659920652094387	0.142677097163684	CPLM	1.01	6	6	0
argA	ResistanceType	No	0.284948957918837	0.0556420458512399	0.00688083295847691	0.142677097163684	CPLM	1.01	6	6	0
argC	ResistanceType	No	0.151865608380672	0.0293870080303688	0.00666216442868017	0.142677097163684	CPLM	1.01	6	6	0
fklB	ResistanceType	No	0.0792131953539978	0.0155533401485921	0.00701674596027054	0.142677097163684	CPLM	1.01	6	6	0
katG	ResistanceType	No	0.0930747350520016	0.0180259731822643	0.00668247115361839	0.142677097163684	CPLM	1.01	6	6	0
yrbL	ResistanceType	No	-0.132350629765877	0.0261261802634522	0.00715129704610151	0.142677097163684	CPLM	1.99	6	6	0
rbbA	ResistanceType	No	0.100986420322539	0.0205966527770333	0.00802638581210763	0.156323418912001	CPLM	1.01	6	6	0
guaC	ResistanceType	No	0.128080152946685	0.0273555777671167	0.00943332607678522	0.168254581769313	CPLM	1.01	6	6	0
inaA	ResistanceType	No	-0.18726086469459	0.0405232353719239	0.00987312949257583	0.168254581769313	CPLM	1.99	6	6	0
osmB	ResistanceType	No	-0.220583097937573	0.0470339227741099	0.0093786336190786	0.168254581769313	CPLM	1.99	6	6	0
ycfJ	ResistanceType	No	-0.187660456549879	0.0405402834330662	0.00981466665201737	0.168254581769313	CPLM	1.99	6	6	0
yeeI	ResistanceType	No	0.152870095326566	0.0330576191852386	0.0098488539616635	0.168254581769313	CPLM	1.01	6	6	0
yggH	ResistanceType	No	0.0907533014212972	0.0190895871212106	0.00894406620214512	0.168254581769313	CPLM	1.01	6	6	0
IS092	ResistanceType	No	-0.178457498040573	0.039129723145999	0.0103336390216702	0.172508504484208	CPLM	1.99	6	6	0
pyrL	ResistanceType	No	0.0832024817569386	0.0188478667676661	0.0115608162569033	0.189134953962939	CPLM	1.01	6	6	0
ddg	ResistanceType	No	-0.240406788590546	0.0557294425588111	0.0125082512650774	0.19676441413141	CPLM	1.99	6	6	0
yifE	ResistanceType	No	0.146845224343826	0.0339851199455084	0.0124388894295628	0.19676441413141	CPLM	1.01	6	6	0
ilvC	ResistanceType	No	0.0827599905784334	0.0195269594082848	0.0132821949575233	0.201200656949149	CPLM	1.01	6	6	0
rydB	ResistanceType	No	-0.164087532399568	0.0386094954831732	0.0131588403297812	0.201200656949149	CPLM	1.99	6	6	0
acnA	ResistanceType	No	-0.10183241328196	0.0242706388949734	0.013743240225954	0.204399463724189	CPLM	1.99	6	6	0
argF	ResistanceType	No	0.23748064998893	0.0576126849392429	0.0145883998109367	0.208867618873695	CPLM	1.01	6	6	0
aroM	ResistanceType	No	-0.104023161286853	0.0251928890560037	0.0145048968468947	0.208867618873695	CPLM	1.99	6	6	0
folA	ResistanceType	No	0.113486655787277	0.0276555579468855	0.014809684467817	0.208867618873695	CPLM	1.01	6	6	0
