feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
hsdR	ResistanceType	No	-1.14929274831147	0.0134360512750805	1.11974618176127e-07	5.56513852335351e-05	CPLM	1.99	6	6	0
yjiY	ResistanceType	No	-1.21119766377222	0.0192269718383947	3.80369307194908e-07	9.45217728379345e-05	CPLM	1.751	6	6	0
yagG	ResistanceType	No	0.971016542332271	0.0178237727757147	6.79623498644182e-07	0.000112590959608719	CPLM	1.01	6	6	0
yagF	ResistanceType	No	1.18718756275351	0.0385424480291718	6.61889649456267e-06	0.000822397889449411	CPLM	1.01	6	6	0
rcsA	ResistanceType	No	0.205208125139343	0.0112450816133948	5.30369994721946e-05	0.00527187774753615	CPLM	1.01	6	6	0
argI	ResistanceType	No	0.19464671233168	0.0120027718392514	8.45978356312861e-05	0.00700752071812486	CPLM	1.01	6	6	0
ydbD	ResistanceType	No	0.895302165700063	0.0601033479954737	0.000118285238598544	0.00734847044793456	CPLM	1.01	6	6	0
yhfZ	ResistanceType	No	0.103971165548702	0.00683167635686296	0.000108695279858728	0.00734847044793456	CPLM	1.01	6	6	0
rpoS	ResistanceType	No	-0.0847122676696066	0.00830039026958081	0.000519352360894393	0.0286797914849459	CPLM	1.99	6	6	0
lipA	ResistanceType	No	-0.143437991243046	0.0152816482012208	0.000717805553220756	0.0344532411787458	CPLM	1.99	6	6	0
yiaB	ResistanceType	No	0.587998318902535	0.0636352659467735	0.000762546585445078	0.0344532411787458	CPLM	1.01	6	6	0
yghA	ResistanceType	No	0.110452383354536	0.0122852994392422	0.00084722276190889	0.0350891427223932	CPLM	1.01	6	6	0
ugd	ResistanceType	No	0.468605570831515	0.0555088779281757	0.00107844855508509	0.0412299178367144	CPLM	1.01	6	6	0
yjbH	ResistanceType	No	0.395027889424506	0.0485812026156436	0.00124435609628305	0.0441746414180484	CPLM	1.01	6	6	0
upp	ResistanceType	No	-0.0680714715036404	0.00976797233339662	0.00222907431855658	0.073856662421508	CPLM	1.99	6	6	0
malZ	ResistanceType	No	0.123419462927094	0.0181226746763283	0.00242952936532518	0.0754672559104134	CPLM	1.01	6	6	0
argC	ResistanceType	No	0.087334041403977	0.0135598498100409	0.00299002473805795	0.085209153749504	CPLM	1.01	6	6	0
yjbE	ResistanceType	No	0.369598802764869	0.0578845094083272	0.00308745911433888	0.085209153749504	CPLM	1.01	6	6	0
yodD	ResistanceType	No	-0.12667250877571	0.0201285159017297	0.00325749279927681	0.085209153749504	CPLM	1.99	6	6	0
yeaS	ResistanceType	No	-0.182260692729165	0.0311980450901785	0.00428039854741045	0.10636790390315	CPLM	1.99	6	6	0
argA	ResistanceType	No	0.138948304801385	0.027787965786735	0.00748881771304611	0.152193721384358	CPLM	1.01	6	6	0
cyoB	ResistanceType	No	0.232120755593239	0.0464060448599142	0.00748010447612628	0.152193721384358	CPLM	1.01	6	6	0
cyoE	ResistanceType	No	0.262254360869807	0.053177067694539	0.00786317125687218	0.152193721384358	CPLM	1.01	6	6	0
valW	ResistanceType	No	0.0978628946783669	0.0198399587942264	0.00785813170497319	0.152193721384358	CPLM	1.01	6	6	0
yjbF	ResistanceType	No	0.397123258133723	0.080809708507258	0.00796184457946338	0.152193721384358	CPLM	1.01	6	6	0
yohC	ResistanceType	No	-0.160998203898023	0.0318623483094605	0.0072162325617371	0.152193721384358	CPLM	1.99	6	6	0
ackA	ResistanceType	No	-0.0804991536230715	0.0182849187726062	0.0116685644679864	0.161416144531001	CPLM	1.99	6	6	0
cyoD	ResistanceType	No	0.275128321284848	0.0641364020687773	0.0127488069241535	0.161416144531001	CPLM	1.01	6	6	0
ilvC	ResistanceType	No	0.0915164892866481	0.0203517396706234	0.0108496061014011	0.161416144531001	CPLM	1.01	6	6	0
mprA	ResistanceType	No	-0.0957591166346821	0.0224469665158769	0.0129912389964588	0.161416144531001	CPLM	1.99	6	6	0
pflA	ResistanceType	No	-0.115905851655437	0.0253519667384072	0.0102462881506294	0.161416144531001	CPLM	1.99	6	6	0
phnB	ResistanceType	No	-0.202245214099387	0.043796540401923	0.00989717676564929	0.161416144531001	CPLM	1.99	6	6	0
serW	ResistanceType	No	0.12083776324023	0.0258288341399372	0.00945892746222035	0.161416144531001	CPLM	1.01	6	6	0
serX	ResistanceType	No	0.120749105426433	0.0255039452666118	0.0090737364827362	0.161416144531001	CPLM	1.01	6	6	0
valV	ResistanceType	No	0.0978649620183974	0.0225842160802225	0.0123173414531619	0.161416144531001	CPLM	1.01	6	6	0
ybcI	ResistanceType	No	0.262363361906522	0.0586484586632074	0.0110449743374185	0.161416144531001	CPLM	1.01	6	6	0
