feature	metadata	value	coef	stderr	pval	qval	base.model	tweedie.index	N	N.not.zero	percent.zero
yjiY	ResistanceType	TP	1.17210540948459	0.0171144603466209	2.72345606603227e-07	0.000220599941348614	CPLM	1.01	6	6	0
hsdR	ResistanceType	TP	1.14380640456431	0.0226535488327992	9.20770301389892e-07	0.000362257266901031	CPLM	1.99	6	6	0
yagF	ResistanceType	TP	-1.26097876183223	0.0274426348164843	1.34169358111493e-06	0.000362257266901031	CPLM	1.01	6	6	0
yagG	ResistanceType	TP	-1.04806249887682	0.0409784144261056	1.38806519101624e-05	0.00281083201180788	CPLM	1.01	6	6	0
yjbF	ResistanceType	TP	-0.450001195155413	0.0191620927222762	1.94911104918665e-05	0.00315755989968237	CPLM	1.01	6	6	0
asd	ResistanceType	TP	-0.0826919498741229	0.00372425925752979	2.43561050822192e-05	0.00328807418609959	CPLM	1.01	6	6	0
yjbG	ResistanceType	TP	-0.532644547343166	0.0308840666134012	6.6323510219423e-05	0.00767457761110466	CPLM	1.01	6	6	0
yjbH	ResistanceType	TP	-0.469939257903982	0.0306676790948652	0.000105797958063502	0.0107120432539296	CPLM	1.01	6	6	0
ydbD	ResistanceType	TP	-0.839656439004081	0.0590895652954481	0.000142424122885822	0.012818171059724	CPLM	1.01	6	6	0
yeiU	ResistanceType	TP	0.124491607134416	0.0128692248611367	0.000638965240376556	0.0517561844705011	CPLM	1.99	6	6	0
valW	ResistanceType	TP	-0.143219986443508	0.0155939291971356	0.000780533578421207	0.0574756544110161	CPLM	1.01	6	6	0
malZ	ResistanceType	TP	-0.188578461128464	0.0270934597794839	0.00223934554640989	0.151155824382667	CPLM	1.01	6	6	0
yedS_3	ResistanceType	TP	-0.146988222661318	0.0216706404570742	0.00246636739859	0.153673660989069	CPLM	1.01	6	6	0
valV	ResistanceType	TP	-0.132370991468716	0.0199919688400878	0.00269827580127097	0.156114528502106	CPLM	1.01	6	6	0
yiaB	ResistanceType	TP	-0.507660724236494	0.0825882150901166	0.00355254541810685	0.19183745257777	CPLM	1.01	6	6	0
ybcI	ResistanceType	TP	-0.288989141565367	0.0487386691725307	0.00405460522806149	0.193190013807636	CPLM	1.01	6	6	0
yjbE	ResistanceType	TP	-0.40051522132918	0.06710322214438	0.00395778774503753	0.193190013807636	CPLM	1.01	6	6	0
argF	ResistanceType	TP	-0.263198048209013	0.0539643005718445	0.00817673312012337	0.344042530943793	CPLM	1.01	6	6	0
kdtA	ResistanceType	TP	-0.109543039852889	0.0220682388860397	0.00768512024230006	0.344042530943793	CPLM	1.01	6	6	0
ytfJ	ResistanceType	TP	0.117712510839477	0.0243986638892118	0.00849487730725414	0.344042530943793	CPLM	1.99	6	6	0
thrB	ResistanceType	TP	-0.0751897472662124	0.0163545867251769	0.0100500264839509	0.377206323555761	CPLM	1.01	6	6	0
yhjE	ResistanceType	TP	-0.158545649999779	0.0346773733575483	0.0102451100225021	0.377206323555761	CPLM	1.01	6	6	0
ychP	ResistanceType	TP	-0.160149472750991	0.0375896450758067	0.0130487415470394	0.459542637091389	CPLM	1.01	6	6	0
aroA	ResistanceType	TP	-0.101594567541488	0.0250407956355253	0.015384627018535	0.492637668123406	CPLM	1.01	6	6	0
gcvB	ResistanceType	TP	0.0888351492840642	0.0221865139956602	0.0160763222923634	0.492637668123406	CPLM	1.99	6	6	0
glgB	ResistanceType	TP	-0.0955453282339196	0.0260179749605233	0.0213482670097288	0.492637668123406	CPLM	1.01	6	6	0
puuD	ResistanceType	TP	0.365863323067793	0.0987391590184422	0.0207381146434689	0.492637668123406	CPLM	1.99	6	6	0
tdk	ResistanceType	TP	0.0929290176710038	0.023575854076129	0.0169355416807046	0.492637668123406	CPLM	1.99	6	6	0
thrA	ResistanceType	TP	-0.0746939163816057	0.0197530275891474	0.0194124865925585	0.492637668123406	CPLM	1.01	6	6	0
ybaY	ResistanceType	TP	0.167084273058745	0.0462495536175043	0.0225032021241556	0.492637668123406	CPLM	1.99	6	6	0
ybbL	ResistanceType	TP	0.132544948655105	0.0332514546145963	0.0163173387326651	0.492637668123406	CPLM	1.99	6	6	0
ybbM	ResistanceType	TP	0.117062157802361	0.0307359436030149	0.0189622739532921	0.492637668123406	CPLM	1.99	6	6	0
yciN	ResistanceType	TP	0.143037177644267	0.0392797498596412	0.0219355623493157	0.492637668123406	CPLM	1.99	6	6	0
ydeQ	ResistanceType	TP	0.621615327927119	0.165444121878591	0.0198220197059757	0.492637668123406	CPLM	1.99	6	6	0
ydeR	ResistanceType	TP	0.594329756776644	0.157837968956576	0.0196819218926011	0.492637668123406	CPLM	1.99	6	6	0
ydeT	ResistanceType	TP	0.581014958260954	0.150272440754471	0.0180484974114492	0.492637668123406	CPLM	1.99	6	6	0
yobD	ResistanceType	TP	-0.14311354145279	0.0385980679045301	0.0206939549936797	0.492637668123406	CPLM	1.01	6	6	0
cysZ	ResistanceType	TP	0.0758190231487303	0.0229816552824661	0.0299583817111829	0.493130682470848	CPLM	1.99	6	6	0
ecnB	ResistanceType	TP	0.086054162725899	0.0262191226376279	0.0304401655846203	0.493130682470848	CPLM	1.99	6	6	0
fic	ResistanceType	TP	0.0871911152647276	0.0261449936879991	0.0289728594892184	0.493130682470848	CPLM	1.99	6	6	0
glgX	ResistanceType	TP	-0.0923927138253413	0.0279861624039009	0.0298949801746128	0.493130682470848	CPLM	1.01	6	6	0
modF	ResistanceType	TP	-0.109476492581586	0.0330628843465534	0.0296222852545345	0.493130682470848	CPLM	1.01	6	6	0
puuA	ResistanceType	TP	0.326071719286068	0.0926727822310994	0.0244825738080392	0.493130682470848	CPLM	1.99	6	6	0
rzoR	ResistanceType	TP	-0.138270842053504	0.0407962847545523	0.0275477953590033	0.493130682470848	CPLM	1.01	6	6	0
sdaA	ResistanceType	TP	0.118957861674863	0.0339252796504166	0.024750869928676	0.493130682470848	CPLM	1.99	6	6	0
serC	ResistanceType	TP	-0.0871585259745581	0.0253836421026813	0.0264470581050194	0.493130682470848	CPLM	1.01	6	6	0
ugd	ResistanceType	TP	-0.530212530687184	0.160637273625487	0.0299143000712373	0.493130682470848	CPLM	1.01	6	6	0
ydeS	ResistanceType	TP	0.538746176800801	0.159352809467089	0.0277639181077914	0.493130682470848	CPLM	1.99	6	6	0
ygaU	ResistanceType	TP	0.099412185211384	0.0294819256383765	0.0279926075432798	0.493130682470848	CPLM	1.99	6	6	0
yliA	ResistanceType	TP	-0.107873591711675	0.0324144688619903	0.0291614671488453	0.493130682470848	CPLM	1.01	6	6	0
aceE	ResistanceType	TP	-0.0750627392501564	0.0252162786762778	0.040869830556212	0.495218238822579	CPLM	1.01	6	6	0
aceF	ResistanceType	TP	-0.0841088938779951	0.0272543725187339	0.0367142590917854	0.495218238822579	CPLM	1.01	6	6	0
emrA	ResistanceType	TP	-0.113030011852092	0.0387054703859587	0.0432322600204901	0.495218238822579	CPLM	1.01	6	6	0
evgS	ResistanceType	TP	-0.27899745471673	0.0941563482439222	0.0414255692657326	0.495218238822579	CPLM	1.01	6	6	0
frdC	ResistanceType	TP	0.112667068857198	0.0393715065411959	0.0458535406317203	0.495218238822579	CPLM	1.99	6	6	0
gcvP	ResistanceType	TP	-0.118471483686686	0.0406919986055063	0.0436161374740942	0.495218238822579	CPLM	1.01	6	6	0
gltB	ResistanceType	TP	-0.150758446263168	0.0509810432429178	0.0416723171574039	0.495218238822579	CPLM	1.01	6	6	0
manX	ResistanceType	TP	-0.189504704466247	0.0632951839072323	0.0401797845110985	0.495218238822579	CPLM	1.01	6	6	0
manY	ResistanceType	TP	-0.170763657708762	0.0595461088494351	0.0455716013406683	0.495218238822579	CPLM	1.01	6	6	0
manZ	ResistanceType	TP	-0.180408029297073	0.0584706298642843	0.036736487822793	0.495218238822579	CPLM	1.01	6	6	0
osmC	ResistanceType	TP	0.145362659787946	0.0472575452876881	0.0370768343838373	0.495218238822579	CPLM	1.99	6	6	0
phoH	ResistanceType	TP	0.195820149155963	0.0620459170700378	0.0343138769271597	0.495218238822579	CPLM	1.99	6	6	0
ptsG	ResistanceType	TP	-0.106396516698049	0.0362855130356262	0.0427198001009158	0.495218238822579	CPLM	1.01	6	6	0
ryeE	ResistanceType	TP	-0.168908188903887	0.0573830241760567	0.0422407359597166	0.495218238822579	CPLM	1.01	6	6	0
yahA	ResistanceType	TP	0.228854355768149	0.0794769643472664	0.0450355080620671	0.495218238822579	CPLM	1.99	6	6	0
ybaK	ResistanceType	TP	0.0796476428438325	0.0276572751618859	0.0450218031522171	0.495218238822579	CPLM	1.99	6	6	0
ybhB	ResistanceType	TP	0.0901848266201001	0.0298879781302753	0.0392623763841436	0.495218238822579	CPLM	1.99	6	6	0
ybhL	ResistanceType	TP	0.157747362099261	0.0511431070848063	0.0367728044681806	0.495218238822579	CPLM	1.99	6	6	0
ydcL	ResistanceType	TP	0.0609587933049815	0.0188101131813281	0.0316516080684659	0.495218238822579	CPLM	1.99	6	6	0
yebA	ResistanceType	TP	-0.161946274487133	0.0530732574327774	0.0379772380101562	0.495218238822579	CPLM	1.01	6	6	0
yebE	ResistanceType	TP	0.152169964261713	0.0527239978532149	0.0447351038200919	0.495218238822579	CPLM	1.99	6	6	0
yhjG	ResistanceType	TP	0.151201949946863	0.0479100306183059	0.0343170445378653	0.495218238822579	CPLM	1.99	6	6	0
ykfI	ResistanceType	TP	0.120422398281161	0.0419182868682658	0.0453410281057621	0.495218238822579	CPLM	1.99	6	6	0
yobH	ResistanceType	TP	0.132226623678231	0.0427440198670607	0.0364519013821228	0.495218238822579	CPLM	1.99	6	6	0
yohF	ResistanceType	TP	0.0913809151239455	0.0310866050275885	0.0424077494919226	0.495218238822579	CPLM	1.99	6	6	0
frdA	ResistanceType	TP	0.0985120620004171	0.0348160230052986	0.0473688970763773	0.498296190024228	CPLM	1.99	6	6	0
yhcO	ResistanceType	TP	0.0985120327721993	0.0348044515741555	0.0473237591709137	0.498296190024228	CPLM	1.99	6	6	0
yliF	ResistanceType	TP	-0.209413486083407	0.0745192879480185	0.0483075089935996	0.499185831213903	CPLM	1.01	6	6	0
ysaB	ResistanceType	TP	-0.128710301053433	0.0459265215447036	0.0486860255134547	0.499185831213903	CPLM	1.01	6	6	0
acrB	ResistanceType	TP	0.0566402711968971	0.0274108842657289	0.107675490259553	0.499308220629105	CPLM	1.99	6	6	0
acrR	ResistanceType	TP	0.150938939678876	0.0684587748383709	0.0921567811562401	0.499308220629105	CPLM	1.99	6	6	0
ais	ResistanceType	TP	0.438253907833159	0.211384083901181	0.106835093883654	0.499308220629105	CPLM	1.99	6	6	0
argA	ResistanceType	TP	-0.158001158136725	0.0651337641501476	0.0723086676830572	0.499308220629105	CPLM	1.01	6	6	0
argC	ResistanceType	TP	-0.161791832591237	0.0752889803386565	0.0980977250734208	0.499308220629105	CPLM	1.01	6	6	0
argI	ResistanceType	TP	-0.183499573211885	0.0759108169331175	0.0729754962981989	0.499308220629105	CPLM	1.01	6	6	0
aroG	ResistanceType	TP	-0.0930081521331426	0.0357223856502433	0.059818749202388	0.499308220629105	CPLM	1.01	6	6	0
arpB_1	ResistanceType	TP	0.226559653466015	0.109440579740804	0.107210562138583	0.499308220629105	CPLM	1.99	6	6	0
bdm	ResistanceType	TP	0.20812625056671	0.0779753396156868	0.0558566009613204	0.499308220629105	CPLM	1.99	6	6	0
carA	ResistanceType	TP	-0.124639556198782	0.0589816090703253	0.102122158406251	0.499308220629105	CPLM	1.01	6	6	0
codB	ResistanceType	TP	-0.0930414897517006	0.0379816776915074	0.0704724887305523	0.499308220629105	CPLM	1.01	6	6	0
csrA	ResistanceType	TP	0.0460414881766076	0.0181046714066259	0.0637725040171335	0.499308220629105	CPLM	1.99	6	6	0
cueR	ResistanceType	TP	0.0797622584002731	0.032633763281029	0.0708895393885386	0.499308220629105	CPLM	1.99	6	6	0
cytR	ResistanceType	TP	-0.0856990774030919	0.0348917915593909	0.069981429889096	0.499308220629105	CPLM	1.01	6	6	0
dcrB	ResistanceType	TP	0.0916834844291938	0.0384342236836238	0.0755390911710906	0.499308220629105	CPLM	1.99	6	6	0
dgsA	ResistanceType	TP	-0.140235805428835	0.0553943586137304	0.0645553826255982	0.499308220629105	CPLM	1.01	6	6	0
emrB	ResistanceType	TP	-0.106943389253281	0.045155539156597	0.0769605085611256	0.499308220629105	CPLM	1.01	6	6	0
frdB	ResistanceType	TP	0.105939038533013	0.0398179755531278	0.056356083678445	0.499308220629105	CPLM	1.99	6	6	0
frdD	ResistanceType	TP	0.0762779123240095	0.035314787372604	0.0968953328701304	0.499308220629105	CPLM	1.99	6	6	0
fxsA	ResistanceType	TP	-0.191229253276805	0.0730116129994	0.0588510870355266	0.499308220629105	CPLM	1.01	6	6	0
gdhA	ResistanceType	TP	-0.138173522628675	0.0634631770602809	0.0950390401439133	0.499308220629105	CPLM	1.01	6	6	0
gltD	ResistanceType	TP	-0.120174263592151	0.0450266878310452	0.0558666499876267	0.499308220629105	CPLM	1.01	6	6	0
gmr	ResistanceType	TP	0.201810719921599	0.0845514245783258	0.0754262756215958	0.499308220629105	CPLM	1.99	6	6	0
hemL	ResistanceType	TP	0.159364819114521	0.074546559074186	0.0993342595541641	0.499308220629105	CPLM	1.99	6	6	0
hybE	ResistanceType	TP	-0.091921089343744	0.0431136822628152	0.0999756832362744	0.499308220629105	CPLM	1.01	6	6	0
ilvC	ResistanceType	TP	-0.118846672590616	0.0454183615423886	0.0590027421861752	0.499308220629105	CPLM	1.01	6	6	0
leuL	ResistanceType	TP	-0.0698554583440504	0.0298205769389303	0.0791594077561444	0.499308220629105	CPLM	1.01	6	6	0
lysA	ResistanceType	TP	-0.0972936862591893	0.0409696184785242	0.0764224128780447	0.499308220629105	CPLM	1.01	6	6	0
lysC	ResistanceType	TP	-0.137755572136209	0.055115873169636	0.0668107202171406	0.499308220629105	CPLM	1.01	6	6	0
mdtI	ResistanceType	TP	0.108885024327969	0.0521744245696697	0.105193660744068	0.499308220629105	CPLM	1.99	6	6	0
mdtJ	ResistanceType	TP	0.140767585677558	0.05858471506914	0.0741305857567263	0.499308220629105	CPLM	1.99	6	6	0
metH	ResistanceType	TP	-0.120636834205372	0.0540085139137649	0.0892471988344817	0.499308220629105	CPLM	1.01	6	6	0
nei	ResistanceType	TP	-0.11617430120247	0.0422353991953084	0.0513407522235651	0.499308220629105	CPLM	1.01	6	6	0
ompF	ResistanceType	TP	-0.122567802885731	0.0451204099880313	0.0531809457129895	0.499308220629105	CPLM	1.01	6	6	0
ompX	ResistanceType	TP	0.0755341075269481	0.0357238827645779	0.101984915970696	0.499308220629105	CPLM	1.99	6	6	0
pepB	ResistanceType	TP	0.0877801144024632	0.042198781201103	0.106004041419529	0.499308220629105	CPLM	1.99	6	6	0
pheP	ResistanceType	TP	-0.0975749083272123	0.0385760719878789	0.0647048902978945	0.499308220629105	CPLM	1.01	6	6	0
pmrD	ResistanceType	TP	0.195072627913521	0.0928968527739752	0.103666843874781	0.499308220629105	CPLM	1.99	6	6	0
pntA	ResistanceType	TP	-0.129257941122044	0.0583785738803294	0.0912055323051808	0.499308220629105	CPLM	1.01	6	6	0
pntB	ResistanceType	TP	-0.12872942623521	0.0579788902381393	0.0905839475752947	0.499308220629105	CPLM	1.01	6	6	0
psiF	ResistanceType	TP	0.0894039246434529	0.042189027019722	0.101441702235388	0.499308220629105	CPLM	1.99	6	6	0
