ID_REF	Parent strain_rep1	Parent strain_rep2	Cefoperazone (CPZ) resistant strain_Line1	Cefoperazone (CPZ) resistant strain_Line2	Cefoperazone (CPZ) resistant strain_Line3	Cefoperazone (CPZ) resistant strain_Line4	Cefixime (CFIX) resistant strain_Line1	Cefixime (CFIX) resistant strain_Line2	Cefixime (CFIX) resistant strain_Line3	Cefixime (CFIX) resistant strain_Line4	Amikacin (AMK) resistant strain_Line1	Amikacin (AMK) resistant strain_Line2	Amikacin (AMK) resistant strain_Line3	Amikacin (AMK) resistant strain_Line4	Neomycin (NM) resistant strain_Line1	Neomycin (NM) resistant strain_Line2	Neomycin (NM) resistant strain_Line3	Neomycin (NM) resistant strain_Line4	Doxycycline (DOXY) resistant strain_Line1	Doxycycline (DOXY) resistant strain_Line2	Doxycycline (DOXY) resistant strain_Line3	Doxycycline (DOXY) resistant strain_Line4	Chloramphenicol (CP) resistant strain_Line1	Chloramphenicol (CP) resistant strain_Line2	Chloramphenicol (CP) resistant strain_Line3	Chloramphenicol (CP) resistant strain_Line4	Azithromycin (AZM) resistant strain_Line1	Azithromycin (AZM) resistant strain_Line2	Azithromycin (AZM) resistant strain_Line3	Azithromycin (AZM) resistant strain_Line4	Trimethoprim (TP) resistant strain_Line1	Trimethoprim (TP) resistant strain_Line2	Trimethoprim (TP) resistant strain_Line3	Trimethoprim (TP) resistant strain_Line4	Enoxacin (ENX) resistant strain_Line1	Enoxacin (ENX) resistant strain_Line2	Enoxacin (ENX) resistant strain_Line3	Enoxacin (ENX) resistant strain_Line4	Ciprofloxacin (CPFX) resistant strain_Line1	Ciprofloxacin (CPFX) resistant strain_Line2	Ciprofloxacin (CPFX) resistant strain_Line3	Ciprofloxacin (CPFX) resistant strain_Line4
aaeA	50.6482194	46.06803024	57.16737012	85.01140286	51.75482024	66.79033321	65.6697325	60.99974643	49.38461512	62.70501226	58.57854571	54.40493595	43.32167429	62.92202202	63.11406738	58.57854571	48.21711405	54.94741679	63.95713667	55.85040071	80.15566774	54.32495762	59.62182163	58.02763845	73.52709226	51.42326952	62.13949262	63.11406738	46.27734357	66.92289869	75.61157143	78.4885694	50.46468274	57.78973167	83.37779298	100.2250661	55.55495821	63.81422476	76.3864025	67.87898929	68.2612544	67.19702667
aaeB	57.60150155	51.75482024	37.36482095	70.18865726	41.5975406	45.43116107	59.94191583	38.74541024	37.985235	52.67519583	70.05993798	50.55373	45.5163381	82.46399643	44.26848226	36.76017298	39.489255	58.78461631	58.02763845	53.74811071	55.04819393	46.01088952	37.75975714	35.63983405	57.07425774	54.40493595	36.62268024	40.25496393	32.86121607	45.84873095	51.42326952	40.72608857	45.95004988	49.73083917	66.23892286	83.08896774	49.94360119	45.03360476	75.61157143	61.34413988	63.81422476	52.40131381
aaeR	363.9062238	303.6366655	261.2930845	314.6070071	298.4079476	452.7328321	268.3488893	376.9060417	219.9487226	306.5850619	406.8991571	259.5382381	314.6070071	427.0694333	413.093381	299.9292452	388.2777869	389.3861405	555.580594	525.3591726	345.6823167	325.746619	325.3284548	280.8554107	385.307356	309.575856	375.698325	400.6018048	305.9828202	363.2021893	348.0812369	494.2813298	325.746619	380.679456	494.8934429	389.3861405	338.6744024	383.9944155	516.200456	536.0043345	472.224769	485.0979595
aaeX	260.4279083	262.1705524	207.6742798	242.3918024	300.9730905	313.3903976	230.792619	227.1272762	150.4663745	250.5020662	435.1973905	205.7763643	241.3372964	360.8570262	361.4583226	277.2672702	348.0812369	350.6557202	305.5345369	335.3378393	311.8136143	233.3734357	226.0377762	211.2350745	295.8619143	286.7283012	326.6808321	360.8570262	254.9451298	320.2736298	279.7237881	210.0848405	263.1101071	201.9507012	323.1157321	318.0143048	293.7385369	235.0033679	469.4248274	384.758844	434.6631762	311.8136143
aas	433.3664583	432.7571917	285.7058429	233.0717429	314.6070071	385.8413071	350.0440929	303.2051643	429.1213214	432.7571917	407.9596119	298.4079476	379.4233274	245.331625	366.9494833	334.1966643	521.0721905	470.1150881	332.5419667	407.9596119	456.2715071	363.9062238	407.9596119	411.2255893	298.8788131	335.9025774	486.309206	431.9385131	355.4651929	376.9060417	333.083944	207.3467119	426.6064583	145.2243306	346.7754726	375.0540012	411.2255893	468.8119845	305.9828202	668.1766381	180.9843161	469.4248274
aat	748.4649976	763.202775	719.5424702	728.5657702	419.2605345	684.8267929	593.322931	587.0105512	521.897175	563.1939643	626.9013798	540.5199429	1018.818199	751.6894643	720.7007345	557.9569536	1011.620615	1014.238679	599.7989988	687.1022774	487.0170083	713.7506143	603.1847476	603.1847476	577.0768869	478.9710155	659.8911393	613.5240988	647.6692762	548.7944869	502.7766869	545.8159155	868.126219	571.9291917	497.8681679	895.0270881	656.7817119	611.6618179	560.0882964	557.2139214	832.5777536	462.2959071
abgA	48.47824298	56.62694964	51.15163405	43.581515	35.21754143	47.63819393	34.79347655	36.76017298	42.07778214	45.5884481	29.59898881	47.72012786	52.58059536	30.15523881	54.03163643	46.9482494	59.21165952	52.29370155	38.17009125	38.92590536	37.14553726	40.72608857	42.13937214	37.75975714	38.74541024	45.34279488	47.97071536	55.76614476	40.25496393	35.48940607	45.5884481	50.6482194	39.80505917	25.19707388	42.72443429	44.04029512	35.84422976	41.95151286	61.76784536	60.34239345	31.95885029	39.0515392
abgB	70.64088286	76.82249214	92.14933929	63.20497202	50.10193095	49.29491274	49.54837417	55.23297655	65.55483726	63.95713667	46.54178845	60.91863714	54.7503356	40.59185167	66.35716607	74.38982726	70.7422919	61.89084857	41.89340786	58.22301548	68.63671929	87.92203119	59.43498179	43.77155464	51.15163405	33.49078298	56.76878476	56.21985095	45.5884481	67.33380554	74.5272831	74.78315905	51.99587	41.66378786	50.55373	38.5292619	58.02763845	59.11446321	86.41205369	64.83781083	41.39712548	82.78077548
abgR	9.052296476	5.847510321	7.456677905	7.712596583	7.519716274	9.624220036	7.436246452	7.679450738	8.335903202	10.8495288	8.260581595	9.75700075	9.2607465	7.065945548	8.260581595	10.2446252	9.092903702	8.535323202	7.034742143	8.753700262	9.582180619	9.682011548	11.94759996	4.99191275	6.431925583	7.736127071	5.856236345	8.574104988	7.29675325	5.137738179	8.980132024	10.18616849	6.442820929	10.26317098	8.368705393	11.7221513	9.790354333	13.07052775	7.957399048	7.661999655	11.13931989	5.62927275
abgT	11.98799556	10.60435886	19.81710048	28.05544526	19.57055696	15.63564073	21.72372452	11.25965449	13.55352487	14.45689133	14.43738877	15.16264723	12.09304018	15.27325256	12.35972114	27.13856277	14.55356867	19.08271925	19.08271925	11.28113246	13.62961232	17.51446787	11.55065377	19.53079606	18.80606479	20.94681295	12.02620863	12.11552562	17.24832812	16.05884093	18.61736431	18.23830817	13.1553424	14.31468726	15.77372806	14.08347226	9.904793464	12.685424	18.61736431	22.07998143	16.67805148	9.193936143
