Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
AP012306.1	190	255		plus	thr operon leader peptide	thrL	0	protein-coding		BAL37321.1	21	ECMDS42_0001
AP012306.1	337	2799		plus	fused aspartokinase I and homoserine dehydrogenase I	thrA	0	protein-coding		BAL37322.1	820	ECMDS42_0002
AP012306.1	2801	3733		plus	homoserine kinase	thrB	0	protein-coding		BAL37323.1	310	ECMDS42_0003
AP012306.1	3734	5020		plus	threonine synthase	thrC	0	protein-coding		BAL37324.1	428	ECMDS42_0004
AP012306.1	5234	5530		plus	predicted protein	yaaX	0	protein-coding		BAL37325.1	98	ECMDS42_0005
AP012306.1	5683	6459		minus	conserved protein	yaaA	0	protein-coding		BAL37326.1	258	ECMDS42_0006
AP012306.1	6529	7959		minus	predicted transporter	yaaJ	0	protein-coding		BAL37327.1	476	ECMDS42_0007
AP012306.1	8238	9191		plus	transaldolase B	talB	0	protein-coding		BAL37328.1	317	ECMDS42_0008
AP012306.1	9306	9893		plus	predicted molybdochelatase	mog	0	protein-coding		BAL37329.1	195	ECMDS42_0009
AP012306.1	9928	10494		minus	conserved inner membrane protein	yaaH	0	protein-coding		BAL37330.1	188	ECMDS42_0010
AP012306.1	10643	11356		minus	conserved protein	yaaW	0	protein-coding		BAL37331.1	237	ECMDS42_0011
AP012306.1	10830	11315		plus	predicted protein	htgA	0	protein-coding		BAL37332.1	161	ECMDS42_0012
AP012306.1	11382	11786		minus	predicted protein	yaaI	0	protein-coding		BAL37333.1	134	ECMDS42_0013
AP012306.1	12163	14079		plus	chaperone Hsp70, co-chaperone with DnaJ	dnaK	0	protein-coding		BAL37334.1	638	ECMDS42_0014
AP012306.1	14168	15298		plus	chaperone Hsp40, co-chaperone with DnaK	dnaJ	0	protein-coding		BAL37335.1	376	ECMDS42_0015
AP012306.1	15640	15903		minus	30S ribosomal subunit protein S20	rpsT	0	protein-coding		BAL37336.1	87	ECMDS42_0016
AP012306.1	16006	16224		plus	predicted protein	yaaY	0	protein-coding		BAL37337.1	72	ECMDS42_0017
AP012306.1	16232	17173		plus	bifunctional riboflavin kinase/FAD synthetase	ribF	0	protein-coding		BAL37338.1	313	ECMDS42_0018
AP012306.1	17216	20032		plus	isoleucyl-tRNA synthetase	ileS	0	protein-coding		BAL37339.1	938	ECMDS42_0019
AP012306.1	20032	20526		plus	prolipoprotein signal peptidase	lspA	0	protein-coding		BAL37340.1	164	ECMDS42_0020
AP012306.1	20651	21100		plus	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)	fkpB	0	protein-coding		BAL37341.1	149	ECMDS42_0021
AP012306.1	21102	22052		plus	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate reductase, 4Fe-4S protein	ispH	0	protein-coding		BAL37342.1	316	ECMDS42_0022
AP012306.1	22118	23032		plus	ribonucleoside hydrolase 3	rihC	0	protein-coding		BAL37343.1	304	ECMDS42_0023
AP012306.1	23199	24020		plus	dihydrodipicolinate reductase	dapB	0	protein-coding		BAL37344.1	273	ECMDS42_0024
AP012306.1	24476	25624		plus	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	carA	0	protein-coding		BAL37345.1	382	ECMDS42_0025
AP012306.1	25642	28863		plus	carbamoyl-phosphate synthase large subunit	carB	0	protein-coding		BAL37346.1	1073	ECMDS42_0026
AP012306.1	29125	29520		plus	DNA-binding transcriptional activator	caiF	0	protein-coding		BAL37347.1	131	ECMDS42_0027
AP012306.1	29606	30196		minus	predicted acyl transferase	caiE	0	protein-coding		BAL37348.1	196	ECMDS42_0028
AP012306.1	30202	31095		minus	crotonobetainyl CoA hydratase	caiD	0	protein-coding		BAL37349.1	297	ECMDS42_0029
AP012306.1	31096	32664		minus	predicted crotonobetaine CoA ligase:carnitine CoA ligase	caiC	0	protein-coding		BAL37350.1	522	ECMDS42_0030
AP012306.1	32723	33940		minus	crotonobetainyl CoA:carnitine CoA transferase	caiB	0	protein-coding		BAL37351.1	405	ECMDS42_0031
AP012306.1	34069	35211		minus	crotonobetaine reductase subunit II, FAD-binding	caiA	0	protein-coding		BAL37352.1	380	ECMDS42_0032
AP012306.1	35242	36756		minus	predicted transporter	caiT	0	protein-coding		BAL37353.1	504	ECMDS42_0033
AP012306.1	37228	37998		plus	predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain	fixA	0	protein-coding		BAL37354.1	256	ECMDS42_0034
AP012306.1	38013	38954		plus	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like	fixB	0	protein-coding		BAL37355.1	313	ECMDS42_0035
AP012306.1	39005	40291		plus	predicted oxidoreductase, FAD/NAD(P)-binding domain	fixC	0	protein-coding		BAL37356.1	428	ECMDS42_0036
AP012306.1	40288	40575		plus	predicted 4Fe-4S ferredoxin-type protein	fixX	0	protein-coding		BAL37357.1	95	ECMDS42_0037
AP012306.1	40632	41963		plus	predicted transporter	yaaU	0	protein-coding		BAL37358.1	443	ECMDS42_0038
AP012306.1	42071	42601		plus	flavoprotein subunit for the KefC potassium efflux system	kefF	0	protein-coding		BAL37359.1	176	ECMDS42_0039
AP012306.1	42594	44456		plus	potassium:proton antiporter	kefC	0	protein-coding		BAL37360.1	620	ECMDS42_0040
AP012306.1	44648	45127		plus	dihydrofolate reductase	folA	0	protein-coding		BAL37361.1	159	ECMDS42_0041
AP012306.1	45205	46047		minus	diadenosine tetraphosphatase	apaH	0	protein-coding		BAL37362.1	280	ECMDS42_0042
AP012306.1	46054	46431		minus	hypothetical protein	apaG	0	protein-coding		BAL37363.1	125	ECMDS42_0043
AP012306.1	46434	47255		minus	S-adenosylmethionine-6-N',N'-adenosyl (rRNA) dimethyltransferase	ksgA	0	protein-coding		BAL37364.1	273	ECMDS42_0044
AP012306.1	47252	48241		minus	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	pdxA	0	protein-coding		BAL37365.1	329	ECMDS42_0045
AP012306.1	48241	49527		minus	peptidyl-prolyl cis-trans isomerase	surA	0	protein-coding		BAL37366.1	428	ECMDS42_0046
AP012306.1	49580	51934		minus	exported protein required for envelope biosynthesis and integrity	imp	0	protein-coding		BAL37367.1	784	ECMDS42_0047
AP012306.1	52189	53004		plus	DnaJ-like protein, membrane anchored	djlA	0	protein-coding		BAL37368.1	271	ECMDS42_0048
AP012306.1	53299	53949		plus	predicted protein	yabP	0	protein-coding		BAL37369.1	216	ECMDS42_0049
AP012306.1	53946	54104		plus	predicted protein	yabQ	0	protein-coding		BAL37370.1	52	ECMDS42_0050
AP012306.1	54512	55171		minus	pseudouridine synthase for 23S rRNA and tRNAphe	rluA	0	protein-coding		BAL37371.1	219	ECMDS42_0051
AP012306.1	55183	58089		minus	uncharacterized gene	hepA	0	protein-coding		BAL37372.1	968	ECMDS42_0052
AP012306.1	58254	60605		minus	DNA polymerase II	polB	0	protein-coding		BAL37373.1	783	ECMDS42_0053
AP012306.1	60680	61375		minus	L-ribulose-5-phosphate 4-epimerase	araD	0	protein-coding		BAL37374.1	231	ECMDS42_0054
AP012306.1	61660	63162		minus	L-arabinose isomerase	araA	0	protein-coding		BAL37375.1	500	ECMDS42_0055
