Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
U00096.3	190	255		plus	thr operon leader peptide	thrL	0	protein-coding		AAC73112.1	21	b0001
U00096.3	337	2799		plus	fused aspartate kinase/homoserine dehydrogenase 1	thrA	0	protein-coding		AAC73113.1	820	b0002
U00096.3	2801	3733		plus	homoserine kinase	thrB	0	protein-coding		AAC73114.1	310	b0003
U00096.3	3734	5020		plus	threonine synthase	thrC	0	protein-coding		AAC73115.1	428	b0004
U00096.3	5234	5530		plus	DUF2502 domain-containing protein YaaX	yaaX	0	protein-coding		AAC73116.1	98	b0005
U00096.3	5683	6459		minus	DNA binding and peroxide stress response protein YaaA	yaaA	0	protein-coding		AAC73117.1	258	b0006
U00096.3	6529	7959		minus	putative transporter YaaJ	yaaJ	0	protein-coding		AAC73118.1	476	b0007
U00096.3	8238	9191		plus	transaldolase B	talB	0	protein-coding		AAC73119.1	317	b0008
U00096.3	9306	9893		plus	molybdopterin adenylyltransferase	mog	0	protein-coding		AAC73120.1	195	b0009
U00096.3	9928	10494		minus	acetate/succinate:H(+) symporter	satP	0	protein-coding		AAC73121.1	188	b0010
U00096.3	10643	11356		minus	putative enzyme-specific chaperone YaaW	yaaW	0	protein-coding		AAC73122.1	237	b0011
U00096.3	10830	11315		plus	uncharacterized protein MbiA	mbiA	0	protein-coding		AYC08161.1	161	b0012
U00096.3	11382	11786		minus	DUF2541 domain-containing protein YaaI	yaaI	0	protein-coding		AAC73124.1	134	b0013
U00096.3	12163	14079		plus	chaperone protein DnaK	dnaK	0	protein-coding		AAC73125.1	638	b0014
U00096.3	14168	15298		plus	chaperone protein DnaJ	dnaJ	0	protein-coding		AAC73126.1	376	b0015
U00096.3	15445	16557		plus	IS186/IS421 family transposase	insL1	0	protein-coding		AAC73127.1	370	b0016
U00096.3	16751	16960		minus	regulatory protein MokC	mokC	0	protein-coding		AAC73129.1	69	b0018
U00096.3	16751	16903		minus	protein HokC	hokC	0	protein-coding		AAT48122.1	50	b4412
U00096.3	16952	17010		plus	small regulatory RNA antitoxin SokC	sokC	0	ncRNA				b4413
U00096.3	17489	18655		plus	Na(+):H(+) antiporter NhaA	nhaA	0	protein-coding		AAC73130.1	388	b0019
U00096.3	18715	19620		plus	DNA-binding transcriptional activator NhaR	nhaR	0	protein-coding		AAC73131.1	301	b0020
U00096.3	19811	20314		minus	IS1 family protein InsB	insB1	0	protein-coding		AAC73132.1	167	b0021
U00096.3	20233	20508		minus	IS1 family protein InsA	insA1	0	protein-coding		AAC73133.1	91	b0022
U00096.3	20815	21078		minus	30S ribosomal subunit protein S20	rpsT	0	protein-coding		AAC73134.1	87	b0023
U00096.3	21181	21399		plus	DUF2575 domain-containing protein YaaY	yaaY	0	protein-coding		AAC73135.1	72	b0024
U00096.3	21407	22348		plus	bifunctional riboflavin kinase/FMN adenylyltransferase	ribF	0	protein-coding		AAC73136.1	313	b0025
U00096.3	22391	25207		plus	isoleucine--tRNA ligase	ileS	0	protein-coding		AAC73137.1	938	b0026
U00096.3	25207	25701		plus	lipoprotein signal peptidase	lspA	0	protein-coding		AAC73138.1	164	b0027
U00096.3	25826	26275		plus	peptidyl-prolyl cis-trans isomerase FkpB	fkpB	0	protein-coding		AAC73139.1	149	b0028
U00096.3	26277	27227		plus	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ispH	0	protein-coding		AAC73140.1	316	b0029
U00096.3	27293	28207		plus	ribonucleoside hydrolase RihC	rihC	0	protein-coding		AAC73141.1	304	b0030
U00096.3	28374	29195		plus	4-hydroxy-tetrahydrodipicolinate reductase	dapB	0	protein-coding		AAC73142.1	273	b0031
U00096.3	29651	30799		plus	carbamoyl-phosphate synthetase small subunit	carA	0	protein-coding		AAC73143.1	382	b0032
U00096.3	30817	34038		plus	carbamoyl-phosphate synthetase large subunit	carB	0	protein-coding		AAC73144.1	1073	b0033
U00096.3	34300	34695		plus	DNA-binding transcriptional activator CaiF	caiF	0	protein-coding		AAC73145.2	131	b0034
U00096.3	34781	35371		minus	putative transferase CaiE	caiE	0	protein-coding		AAC73146.2	196	b0035
U00096.3	35377	36162		minus	crotonobetainyl-CoA hydratase	caiD	0	protein-coding		AAC73147.2	261	b0036
U00096.3	36271	37824		minus	carnitine--CoA ligase	caiC	0	protein-coding		AAC73148.2	517	b0037
U00096.3	37898	39115		minus	gamma-butyrobetainyl-CoA:carnitine CoA transferase	caiB	0	protein-coding		AAC73149.1	405	b0038
U00096.3	39244	40386		minus	crotonobetainyl-CoA reductase	caiA	0	protein-coding		AAC73150.1	380	b0039
U00096.3	40417	41931		minus	L-carnitine:gamma-butyrobetaine antiporter	caiT	0	protein-coding		AAC73151.1	504	b0040
U00096.3	42403	43173		plus	putative electron transfer flavoprotein FixA	fixA	0	protein-coding		AAC73152.2	256	b0041
U00096.3	43188	44129		plus	putative electron transfer flavoprotein FixB	fixB	0	protein-coding		AAC73153.1	313	b0042
U00096.3	44180	45466		plus	putative oxidoreductase FixC	fixC	0	protein-coding		AAC73154.1	428	b0043
U00096.3	45463	45750		plus	putative ferredoxin FixX	fixX	0	protein-coding		AAC73155.1	95	b0044
U00096.3	45807	47138		plus	putative transporter YaaU	yaaU	0	protein-coding		AAC73156.1	443	b0045
U00096.3	47246	47776		plus	regulator of KefC-mediated potassium transport and quinone oxidoreductase	kefF	0	protein-coding		AAC73157.1	176	b0046
U00096.3	47769	49631		plus	K(+) : H(+) antiporter KefC	kefC	0	protein-coding		AAC73158.1	620	b0047
U00096.3	49823	50302		plus	dihydrofolate reductase	folA	0	protein-coding		AAC73159.1	159	b0048
U00096.3	50380	51222		minus	diadenosine tetraphosphatase	apaH	0	protein-coding		AAC73160.1	280	b0049
U00096.3	51229	51606		minus	DUF525 domain-containing protein ApaG	apaG	0	protein-coding		AAC73161.1	125	b0050
U00096.3	51609	52430		minus	16S rRNA m(6)2A1518,m(6)2A1519 dimethyltransferase	rsmA	0	protein-coding		AAC73162.1	273	b0051
U00096.3	52427	53416		minus	4-hydroxythreonine-4-phosphate dehydrogenase	pdxA	0	protein-coding		AAC73163.1	329	b0052
U00096.3	53416	54702		minus	chaperone SurA	surA	0	protein-coding		AAC73164.1	428	b0053
U00096.3	54755	57109		minus	lipopolysaccharide assembly protein LptD	lptD	0	protein-coding		AAC73165.1	784	b0054
U00096.3	57364	58179		plus	co-chaperone protein DjlA	djlA	0	protein-coding		AAC73166.1	271	b0055
U00096.3	58474	59124		plus	putative uncharacterized protein YabP	yabP	0	protein-coding		AYC08162.1	216	b0056
U00096.3	59121	59279		plus	protein YabQ	yabQ	0	protein-coding		AYC08163.1	52	b0057
U00096.3	59687	60346		minus	23S rRNA pseudouridine(746) and tRNA pseudouridine(32) synthase	rluA	0	protein-coding		AAC73169.1	219	b0058
U00096.3	60358	63264		minus	RNA polymerase-binding ATPase and RNAP recycling factor	rapA	0	protein-coding		AAC73170.1	968	b0059
U00096.3	63429	65780		minus	DNA polymerase II	polB	0	protein-coding		AAC73171.1	783	b0060
U00096.3	65855	66550		minus	L-ribulose-5-phosphate 4-epimerase AraD	araD	0	protein-coding		AAC73172.1	231	b0061
U00096.3	66835	68337		minus	L-arabinose isomerase	araA	0	protein-coding		AAC73173.1	500	b0062
U00096.3	68348	70048		minus	ribulokinase	araB	0	protein-coding		AAC73174.1	566	b0063
U00096.3	70387	71265		plus	DNA-binding transcriptional dual regulator AraC	araC	0	protein-coding		AAC73175.1	292	b0064
U00096.3	71351	72115		plus	DedA family protein YabI	yabI	0	protein-coding		AAC73176.1	254	b0065
U00096.3	72229	72927		minus	thiamine ABC transporter ATP binding subunit	thiQ	0	protein-coding		AAC73177.1	232	b0066
U00096.3	72911	74521		minus	thiamine ABC transporter membrane subunit	thiP	0	protein-coding		AAC73178.1	536	b0067
U00096.3	74497	75480		minus	thiamine ABC transporter periplasmic binding protein	thiB	0	protein-coding		AAC73179.1	327	b0068
U00096.3	75516	75608		minus	small RNA SroA	sroA	0	ncRNA				b4762
U00096.3	75644	77299		minus	DNA-binding transcriptional dual regulator SgrR	sgrR	0	protein-coding		AAC73180.1	551	b0069
U00096.3	77367	77593		plus	small regulatory RNA SgrS	sgrS	0	ncRNA				b4577
U00096.3	77388	77519		plus	PtsG glucose transporter inhibitor	sgrT	0	protein-coding		ACO59989.1	43	b4662
U00096.3	77621	78799		plus	sugar exporter SetA	setA	0	protein-coding		AAT48123.1	392	b0070
U00096.3	78848	79453		minus	3-isopropylmalate dehydratase subunit LeuD	leuD	0	protein-coding		AAC73182.1	201	b0071
U00096.3	79464	80864		minus	3-isopropylmalate dehydratase subunit LeuC	leuC	0	protein-coding		AAC73183.1	466	b0072
U00096.3	80867	81958		minus	3-isopropylmalate dehydrogenase	leuB	0	protein-coding		AAC73184.2	363	b0073
U00096.3	81958	83529		minus	2-isopropylmalate synthase	leuA	0	protein-coding		AAC73185.1	523	b0074
U00096.3	83622	83708		minus	leu operon leader peptide	leuL	0	protein-coding		AAC73186.1	28	b0075
